Vaccine 5G_unscaled,Vaccine 5G_monthly,isPartial,scale,Vaccine 5G,plandemic_unscaled,plandemic_monthly,isPartial,scale,plandemic,anti mask_unscaled,anti mask_monthly,isPartial,scale,anti mask,Great Reset_unscaled,Great Reset_monthly,isPartial,scale,Great Reset,Bill Gates Vaccine_unscaled,Bill Gates Vaccine_monthly,isPartial,scale,Bill Gates Vaccine
59,9.0,,0.09,5.31,72,1.0,,0.01,0.72,70,42.0,,0.42,29.4,72,34.0,,0.34,24.48,87,15.0,,0.15,13.049999999999999
0,9.0,,0.09,0.0,55,1.0,,0.01,0.55,60,42.0,,0.42,25.2,85,34.0,,0.34,28.900000000000002,27,15.0,,0.15,4.05
32,9.0,,0.09,2.88,59,1.0,,0.01,0.59,76,42.0,,0.42,31.919999999999998,96,34.0,,0.34,32.64,22,15.0,,0.15,3.3
32,16.0,False,0.16,5.12,78,1.0,False,0.01,0.78,76,39.0,False,0.39,29.64,66,29.0,False,0.29,19.139999999999997,44,14.0,False,0.14,6.16
0,16.0,,0.16,0.0,53,1.0,,0.01,0.53,89,39.0,,0.39,34.71,68,29.0,,0.29,19.72,52,14.0,,0.14,7.280000000000001
29,16.0,,0.16,4.64,18,1.0,,0.01,0.18,100,39.0,,0.39,39.0,67,29.0,,0.29,19.43,26,14.0,,0.14,3.6400000000000006
29,16.0,,0.16,4.64,71,1.0,,0.01,0.71,53,39.0,,0.39,20.67,73,29.0,,0.29,21.169999999999998,46,14.0,,0.14,6.44
30,16.0,,0.16,4.8,36,1.0,,0.01,0.36,60,39.0,,0.39,23.400000000000002,74,29.0,,0.29,21.459999999999997,54,14.0,,0.14,7.5600000000000005
31,16.0,,0.16,4.96,77,1.0,,0.01,0.77,63,39.0,,0.39,24.57,72,29.0,,0.29,20.88,57,14.0,,0.14,7.98
0,16.0,,0.16,0.0,60,1.0,,0.01,0.6,53,39.0,,0.39,20.67,88,29.0,,0.29,25.52,67,14.0,,0.14,9.38
